EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,00:00:00,3,518.0,519.0,2.0,516.0,0.0,61.76303,0.8833334,196.16667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,01:00:00,3,346.0,346.5,1.0,345.0,0.0,62.54396,0.57,216.72667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,02:00:00,3,178.0,178.0,0.0,178.0,0.0,61.96955,0.22999997,240.64
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,03:00:00,3,103.0,103.5,1.0,102.0,0.0,63.214077,0.1,246.5
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,04:00:00,3,72.0,72.0,0.0,72.0,0.0,62.835003,0.05666667,249.44334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,05:00:00,3,114.0,114.5,1.0,113.0,0.0,63.02737,0.11333334,247.05666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,06:00:00,3,232.0,232.5,1.0,231.0,0.0,61.41401,0.34333333,231.55666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,07:00:00,3,716.0,719.5,7.0,709.0,0.0,60.675323,1.3433332,180.52998
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,08:00:00,3,2060.0,2067.75,11.0,2037.0,0.0,58.754074,4.2333336,95.82
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,09:00:00,3,2172.0,2246.2415,92.0,2082.0,-2.0,45.715153,14.323334,91.69666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,10:00:00,3,1854.0,1861.0,14.0,1840.0,0.0,57.743313,4.633333,97.083336
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,11:00:00,3,1530.0,1535.5,11.0,1519.0,0.0,59.317177,3.0466664,107.46
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,12:00:00,3,1549.0,1551.0,4.0,1545.0,0.0,59.909004,3.0833333,102.30001
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,13:00:00,3,1474.0,1479.0,10.0,1464.0,0.0,59.706062,2.9033334,104.99
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,14:00:00,3,1642.0,1649.5,15.0,1627.0,0.0,58.83852,3.38,110.48334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,15:00:00,3,1790.0,1826.4406,12.0,1778.0,0.0,57.947956,3.8866665,104.33667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,16:00:00,3,1792.0,1800.0,16.0,1776.0,0.0,57.71888,3.89,105.37
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,17:00:00,3,1828.0,1837.0,18.0,1810.0,0.0,57.125854,4.06,101.78333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,18:00:00,3,1874.0,1878.5,9.0,1865.0,0.0,56.760696,4.15,91.02334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,19:00:00,3,1615.0,1620.0,10.0,1605.0,0.0,57.79976,3.4766667,107.70333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,20:00:00,3,1462.0,1467.5,11.0,1451.0,0.0,57.875458,3.14,116.61666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,21:00:00,3,1210.0,1214.0,8.0,1202.0,0.0,58.93046,2.4833333,128.65999
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,22:00:00,3,1146.0,1150.5,9.0,1137.0,0.0,59.239227,2.3266666,135.18333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-14,23:00:00,3,860.0,862.0,4.0,856.0,0.0,60.606606,1.6,160.87
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,00:00:00,3,467.0,467.0,0.0,467.0,0.0,61.559143,0.8066667,201.60999
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,01:00:00,3,264.0,265.0,2.0,262.0,0.0,63.569202,0.38333333,228.30334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,02:00:00,3,179.0,179.0,0.0,179.0,0.0,61.78564,0.26666665,239.38667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,03:00:00,3,130.0,131.0,2.0,128.0,0.0,61.64823,0.14333333,244.44666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,04:00:00,3,85.0,85.0,0.0,85.0,0.0,62.203526,0.06666667,248.33333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,05:00:00,3,129.0,129.5,1.0,128.0,0.0,62.574417,0.13666667,246.39
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,06:00:00,3,236.0,236.0,0.0,236.0,0.0,60.84377,0.37333333,232.39
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,07:00:00,3,612.0,616.0,8.0,604.0,0.0,60.35892,1.15,193.44
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,08:00:00,3,2087.0,2093.0,12.0,2072.0,0.0,59.012432,4.2899995,97.36001
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,09:00:00,3,2162.0,2227.0508,103.0,2059.0,0.0,45.650803,13.883334,92.58667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,10:00:00,3,2084.0,2115.0,62.0,2022.0,0.0,52.494984,6.7100005,88.14333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,11:00:00,3,1802.0,1809.0,14.0,1788.0,0.0,58.723877,3.7833335,98.45333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,12:00:00,3,1748.0,1752.5,9.0,1739.0,0.0,58.867474,3.5900002,96.47333
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,13:00:00,3,1608.0,1611.0,6.0,1602.0,0.0,59.11211,3.2600002,101.69666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,14:00:00,3,1802.0,1810.5,17.0,1785.0,0.0,57.218376,3.95,98.61666
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,15:00:00,3,1898.0,1904.0,12.0,1886.0,0.0,56.56447,4.263333,95.013336
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,16:00:00,3,1875.0,1890.0,30.0,1845.0,0.0,57.362835,4.16,96.40334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,17:00:00,3,1865.0,1872.0,14.0,1851.0,0.0,57.21415,4.113333,98.27334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,18:00:00,3,1831.0,1837.5,13.0,1818.0,0.0,57.082268,4.023333,93.73334
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,19:00:00,3,1662.0,1667.0,10.0,1652.0,0.0,58.312283,3.4299996,106.216675
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,20:00:00,3,1481.0,1487.0,12.0,1469.0,0.0,57.945904,3.1633332,116.04667
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,21:00:00,3,1229.0,1232.0,6.0,1223.0,0.0,59.335697,2.4333334,128.8
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,22:00:00,3,1198.0,1199.5,3.0,1195.0,0.0,59.04509,2.37,132.05
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-11-15,23:00:00,3,817.0,818.5,3.0,814.0,0.0,60.117645,1.52,162.64333
