EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,00:00:00,3,298.0,298.5,1.0,297.0,0.0,52.88557,0.6666667,229.47333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,01:00:00,3,219.0,220.5,3.0,216.0,0.0,53.57009,0.4766667,240.11
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,02:00:00,3,119.0,119.0,0.0,119.0,0.0,54.79529,0.18666667,247.72333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,03:00:00,3,54.0,54.5,1.0,53.0,0.0,54.607594,0.083333336,250.0
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,04:00:00,3,45.0,45.0,0.0,45.0,0.0,51.576443,0.06,249.72333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,05:00:00,3,58.0,58.0,0.0,58.0,0.0,53.451206,0.08333333,249.72333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,06:00:00,3,127.0,129.0,4.0,123.0,0.0,51.251575,0.32999998,246.11
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,07:00:00,3,586.0,592.5,13.0,573.0,0.0,50.30411,1.6833334,189.26001
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,08:00:00,3,1942.0,1971.0,58.0,1884.0,0.0,43.1301,13.563333,94.72666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,09:00:00,3,2611.0,2670.0,118.0,2493.0,0.0,39.655716,20.006666,79.986664
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,10:00:00,3,2074.0,2094.0,40.0,2032.0,0.0,48.20759,6.4133334,87.166664
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,11:00:00,3,1324.5,1355.1313,43.0,1280.0,0.0,47.896202,5.5966663,116.909996
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,12:00:00,3,1460.0,1530.0425,107.0,1350.0,0.0,45.965668,7.693334,106.30334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,13:00:00,3,1338.0,1386.3177,81.0,1254.0,0.0,47.37011,5.9966664,109.03
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,14:00:00,3,1452.0,1485.911,49.0,1401.0,0.0,48.710907,5.8700004,101.71
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,15:00:00,3,1661.0,1742.779,69.0,1592.0,0.0,46.656475,8.679999,87.880005
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,16:00:00,3,1502.5,1526.0,45.0,1454.0,0.0,48.80942,5.2733335,98.4
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,17:00:00,3,1602.0,1661.5974,82.0,1517.0,0.0,46.556885,6.67,92.83667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,18:00:00,3,1655.5,1702.0889,53.0,1602.0,0.0,45.435112,8.18,119.213326
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,19:00:00,3,1568.0,1616.1355,73.0,1496.0,-1.0,45.565903,6.766667,117.996666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,20:00:00,3,1220.0,1239.0,38.0,1182.0,0.0,47.71199,4.233333,134.51
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,21:00:00,3,923.0,936.0,26.0,897.0,0.0,48.443886,3.1866665,149.85
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,22:00:00,3,779.0,784.0,10.0,769.0,0.0,50.03811,2.18,166.53334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-14,23:00:00,3,563.0,565.0,4.0,559.0,0.0,51.667873,1.4566666,194.62666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-15,00:00:00,3,330.0,331.0,2.0,328.0,0.0,53.031487,0.75666666,225.97333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-15,01:00:00,3,155.0,156.0,2.0,153.0,0.0,53.18787,0.32333332,240.77998
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-15,02:00:00,3,104.0,105.5,3.0,101.0,0.0,54.08625,0.19666666,247.22333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-11-15,03:00:00,3,65.0,66.0,2.0,63.0,0.0,53.876,0.09666667,249.72333
