EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS6TI00,瑞光路295號前,往北,2016-11-14,00:00:00,1,74.0,81.5,15.0,59.0,0.0,46.2,1.13,236.35
VS6TI00,瑞光路295號前,往北,2016-11-14,01:00:00,1,42.0,48.5,13.0,29.0,0.0,36.98,0.75,246.27
VS6TI00,瑞光路295號前,往北,2016-11-14,02:00:00,1,19.0,20.5,3.0,16.0,0.0,33.0,0.37,249.07
VS6TI00,瑞光路295號前,往北,2016-11-14,03:00:00,1,14.0,15.0,2.0,12.0,0.0,32.79,0.25,250.0
VS6TI00,瑞光路295號前,往北,2016-11-14,04:00:00,1,9.0,9.5,1.0,8.0,0.0,29.219997,0.52,250.0
VS6TI00,瑞光路295號前,往北,2016-11-14,05:00:00,1,24.0,26.5,5.0,19.0,0.0,31.08,0.97,247.85
VS6TI00,瑞光路295號前,往北,2016-11-14,06:00:00,1,52.0,59.0,14.0,38.0,0.0,34.29,1.13,243.88
VS6TI00,瑞光路295號前,往北,2016-11-14,07:00:00,1,162.0,187.5,51.0,111.0,0.0,39.24,3.5,196.68
VS6TI00,瑞光路295號前,往北,2016-11-14,08:00:00,1,320.0,362.0,84.0,236.0,0.0,40.78,6.38,136.55
VS6TI00,瑞光路295號前,往北,2016-11-14,09:00:00,1,553.0,606.0,106.0,447.0,0.0,32.94,12.88,81.5
VS6TI00,瑞光路295號前,往北,2016-11-14,10:00:00,1,497.0,543.5,93.0,404.0,0.0,34.57,10.83,81.35
VS6TI00,瑞光路295號前,往北,2016-11-14,11:00:00,1,402.0,441.5,79.0,323.0,0.0,38.68,8.38,113.77
VS6TI00,瑞光路295號前,往北,2016-11-14,12:00:00,1,390.0,425.0,70.0,320.0,0.0,38.74,7.12,107.52
VS6TI00,瑞光路295號前,往北,2016-11-14,13:00:00,1,435.0,475.5,81.0,354.0,0.0,36.34,8.77,99.63
VS6TI00,瑞光路295號前,往北,2016-11-14,14:00:00,1,495.0,531.0,72.0,423.0,0.0,33.83,9.9,91.08
VS6TI00,瑞光路295號前,往北,2016-11-14,15:00:00,1,500.0,554.23724,90.0,410.0,0.0,38.56,10.18,79.29
VS6TI00,瑞光路295號前,往北,2016-11-14,16:00:00,1,396.0,430.5,69.0,327.0,0.0,36.05,8.8,108.17
VS6TI00,瑞光路295號前,往北,2016-11-14,17:00:00,1,419.0,451.0,64.0,355.0,0.0,34.84,8.92,104.67
VS6TI00,瑞光路295號前,往北,2016-11-14,18:00:00,1,374.0,414.0,80.0,294.0,0.0,36.82,7.95,125.03
VS6TI00,瑞光路295號前,往北,2016-11-14,19:00:00,1,398.0,465.51724,104.0,294.0,0.0,34.25,9.88,112.97
VS6TI00,瑞光路295號前,往北,2016-11-14,20:00:00,1,363.0,402.0,78.0,285.0,0.0,37.71,7.13,126.1
VS6TI00,瑞光路295號前,往北,2016-11-14,21:00:00,1,359.0,396.5,75.0,284.0,0.0,35.84,7.23,121.72
