EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,00:00:00,2,86.0,89.0,6.0,80.0,0.0,70.0,0.385,242.965
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,01:00:00,2,40.0,41.0,2.0,38.0,0.0,70.0,0.215,248.89
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,02:00:00,2,30.0,31.5,3.0,27.0,0.0,70.0,0.22,249.56
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,03:00:00,2,11.0,11.5,1.0,10.0,0.0,70.0,0.075,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,04:00:00,2,13.0,13.0,0.0,13.0,0.0,70.0,0.1,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,05:00:00,2,12.0,12.5,1.0,11.0,0.0,70.0,0.1,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,06:00:00,2,27.0,29.5,5.0,22.0,0.0,70.0,0.185,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,07:00:00,2,127.0,137.5,21.0,106.0,0.0,70.0,0.64,236.735
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,08:00:00,2,260.0,273.5,27.0,233.0,0.0,68.38109,0.94,211.14
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,09:00:00,2,250.0,267.0,34.0,216.0,0.0,70.0,0.99,212.215
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,10:00:00,2,328.0,352.5,49.0,279.0,0.0,68.08147,1.41,201.685
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,11:00:00,2,261.0,270.0,18.0,243.0,0.0,69.43939,0.865,204.91
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,12:00:00,2,299.0,324.0,50.0,249.0,0.0,69.95318,1.265,200.285
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,13:00:00,2,259.0,271.0,24.0,235.0,0.0,64.50487,1.1949999,212.57
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,14:00:00,2,306.0,317.5,23.0,283.0,0.0,69.454315,1.11,198.98999
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,15:00:00,2,338.0,365.08475,42.0,296.0,0.0,69.040474,1.29,195.86499
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,16:00:00,2,367.0,389.5,45.0,322.0,0.0,68.736404,1.535,190.995
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,17:00:00,2,393.0,421.0,56.0,337.0,0.0,66.792915,1.835,192.79001
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,18:00:00,2,396.0,425.0,58.0,338.0,0.0,67.83031,1.8599999,192.725
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,19:00:00,2,414.0,456.72415,55.0,359.0,0.0,68.1663,2.01,184.225
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,20:00:00,2,330.0,346.0,32.0,298.0,0.0,69.47976,1.3800001,196.495
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,21:00:00,2,265.0,275.0,20.0,245.0,0.0,69.62113,0.945,206.565
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,22:00:00,2,191.0,197.0,12.0,179.0,0.0,70.0,0.715,221.65
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-14,23:00:00,2,132.0,137.5,11.0,121.0,0.0,70.0,0.475,231.63501
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,00:00:00,2,85.0,88.0,6.0,79.0,0.0,70.0,0.375,241.3
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,01:00:00,2,36.0,38.5,5.0,31.0,0.0,70.0,0.2,248.66
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,02:00:00,2,26.0,27.5,3.0,23.0,0.0,70.0,0.21000001,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,03:00:00,2,21.0,22.0,2.0,19.0,0.0,70.0,0.14,249.565
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,04:00:00,2,11.0,12.0,2.0,9.0,0.0,70.0,0.07,249.56
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,05:00:00,2,11.0,11.0,0.0,11.0,0.0,70.0,0.085,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,06:00:00,2,32.0,34.5,5.0,27.0,0.0,70.0,0.235,248.175
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,07:00:00,2,119.0,129.5,21.0,98.0,0.0,70.0,0.57000005,235.225
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,08:00:00,2,256.0,273.0,34.0,222.0,0.0,70.0,0.96,210.29999
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,09:00:00,2,304.0,325.0,42.0,262.0,0.0,70.0,1.385,202.775
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,10:00:00,2,370.0,388.0,36.0,334.0,0.0,67.54757,1.6,198.815
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,11:00:00,2,345.0,367.5,45.0,300.0,0.0,69.372444,1.26,195.405
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,12:00:00,2,348.0,375.0,29.0,319.0,0.0,69.78506,1.375,192.31
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,13:00:00,2,668.0,699.5,63.0,605.0,0.0,40.171974,1.965,190.435
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,14:00:00,2,391.0,415.0,48.0,343.0,0.0,65.776215,1.99,193.925
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,15:00:00,2,358.0,375.0,34.0,324.0,0.0,68.483826,1.475,191.265
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,16:00:00,2,359.0,375.5,33.0,326.0,0.0,69.07476,1.4150001,190.45
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,17:00:00,2,355.0,374.5,39.0,316.0,0.0,69.45322,1.34,193.51001
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,18:00:00,2,408.0,433.5,51.0,357.0,0.0,66.277565,1.99,187.62
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,19:00:00,2,514.0,574.13794,82.0,432.0,0.0,63.92841,3.195,178.375
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,20:00:00,2,357.0,376.5,39.0,318.0,0.0,69.77681,1.335,196.05
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,21:00:00,2,256.0,269.0,26.0,230.0,0.0,69.88797,0.91,204.285
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,22:00:00,2,221.0,227.0,12.0,209.0,0.0,69.77086,0.75,211.95999
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-15,23:00:00,2,136.0,142.0,12.0,124.0,0.0,70.0,0.565,229.35
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,00:00:00,2,75.0,80.5,11.0,64.0,0.0,70.0,0.35,242.58499
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,01:00:00,2,46.0,48.5,5.0,41.0,0.0,70.0,0.315,248.7
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,02:00:00,2,38.0,38.5,1.0,37.0,0.0,70.0,0.245,248.685
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,03:00:00,2,25.0,25.5,1.0,24.0,0.0,70.0,0.165,249.565
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,04:00:00,2,13.0,14.5,3.0,10.0,0.0,70.0,0.09,250.0
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-11-16,05:00:00,2,14.0,15.0,2.0,12.0,0.0,70.0,0.11,250.0
